Subject,Relation,Object,closest biolink predicate
metabolite,IN_SAME_LIPID_OR_CHEMICAL_CLASS_AS,metabolite,biolink:similar_to
metabolite,PART_OF_METABOLIC_NETWORK_WITH,metabolite,biolink:related_to
metabolite,FLUX_COUPLED_WITH,metabolite,biolink:correlated_with
metabolite,COABUNDANT_WITH,metabolite,biolink:correlated_with
metabolite,CHANGES_WITH_CONDITION,metabolite,biolink:correlated_with
metabolite,COMPETES_WITH_FOR_ENZYME,metabolite,biolink:affects
metabolite,MASS_FEATURE_CLUSTER_WITH,metabolite,biolink:related_to
metabolite,ISOTOPOLOGUE_OF,metabolite,biolink:similar_to
profile,ASSOCIATED_WITH_METABOLITE_LEVELS,metabolite,biolink:associated_with
protein,BINDS_OR_TRANSPORTED_BY_PROTEIN,metabolite,biolink:physically_interacts_with
variant,ASSOCIATED_WITH_METABOLITE_QTL (mQTL),metabolite,biolink:associated_with
gene,ENCODES_ENZYME_FOR_REACTION,metabolite / reaction,biolink:participates_in
profile,JUSTIFIED_BY_EVIDENCE,ontology term (ECO),biolink:has_supporting_evidence
profile,ASSOCIATED_WITH_OUTCOME,outcome,biolink:associated_with
gene,INVOLVED_IN_PATHWAY,pathway,biolink:actively_involved_in
metabolite,PART_OF_PATHWAY,pathway,biolink:part_of
variant,IMPACTS_PATHWAY_VIA_TARGET_GENE,pathway,biolink:affects
metabolite,CORRELATES_WITH_PHENOTYPE,phenotype,biolink:correlated_with
compound,LINKED_VIA_PERTURBATION,profile,biolink:related_to
variant,ASSOCIATED_WITH_DIFFERENTIAL_EXPRESSION,profile,biolink:associated_with
gene product,PRODUCT_HAS_PTM,PTM,biolink:has_attribute
metabolite,SUBSTRATE_OF_REACTION,reaction,biolink:participates_in
metabolite,PRODUCT_OF_REACTION,reaction,biolink:participates_in
profile,ASSOCIATED_WITH_REACTION_ACTIVITY,reaction,biolink:associated_with
variant,LOCATED_IN_REGULATORY_ELEMENT,regulatory element,biolink:located_in
metabolite,REPORTS_PATHWAY_STATE,signaling pathway,biolink:associated_with
gene,EXPRESSED_IN_TISSUE,tissue,biolink:expressed_in
metabolite,ENRICHED_IN_TISSUE,tissue,biolink:located_in
variant,EFFECT_IS_TISSUE_SPECIFIC,tissue,biolink:affects
profile,FROM_TISSUE,tissue,biolink:derives_from
gene,HAS_TRANSCRIPT,transcript,biolink:has_gene_product
variant,LOCATED_IN_TRANSCRIPT,transcript,biolink:located_in
variant,AFFECTS_TRANSCRIPT_STRUCTURE,transcript,biolink:affects
CNV,WITHIN_CNV_REGION,variant,biolink:located_in
variant,LD_WITH,variant,biolink:correlated_with
variant,IN_HAPLOTYPE_WITH,variant,biolink:co_occurs_with
variant,CO_OCCURS_IN_TUMOR_WITH,variant,biolink:co_occurs_with
variant,ALLELIC_IMBALANCE_WITH_GENE,variant,biolink:affects_expression_of
variant,POPULATION_FREQUENCY_CORRELATED_WITH,variant,biolink:correlated_with
variant,SIMILAR_BY_FUNCTIONAL_IMPACT,variant,biolink:similar_to
variant,SIMILAR_BY_GENOMIC_CONTEXT,variant,biolink:similar_to
variant,WITHIN_SV_EVENT,variant,biolink:located_in
variant,MUTUALLY_EXCLUSIVE_WITH,variant,biolink:related_to
variant_callset,OVERLAPS_WITH_CALLSET,variant_callset,biolink:overlaps
variant_callset,CONCORDANT_WITH_CALLSET,variant_callset,biolink:correlated_with
variant_callset,DISCORDANT_WITH_CALLSET,variant_callset,biolink:related_to
variant_callset,SUBSET_OF_CALLSET,variant_callset,biolink:subset_of
variant_callset,MERGED_FROM_CALLSETS,variant_callset,biolink:derives_from
variant_callset,REPROCESSED_FROM,variant_callset,biolink:derives_from
variant_callset,JOINT_GENOTYPED_WITH,variant_callset,biolink:related_to
variant_callset,SAME_REFERENCE_ASSEMBLY_AS,variant_callset,biolink:same_as
variant_callset,SAME_PIPELINE_AS,variant_callset,biolink:related_to
variant_callset,SAME_SEQUENCING_PLATFORM_AS,variant_callset,biolink:related_to
variant_callset,TECHNICAL_REPLICATE_OF,variant_callset,biolink:same_as
variant_callset,HAS_QC_PROFILE_SIMILAR_TO,variant_callset,biolink:similar_to
variant_callset,SHARES_VARIANT_TYPE_DISTRIBUTION_WITH,variant_callset,biolink:similar_to
variant_callset,COVERAGE_PROFILE_SIMILAR_TO,variant_callset,biolink:similar_to
variant_callset,POP_AF_AGGREGATE_COMPATIBLE_WITH,variant_callset,biolink:correlated_with
variant_callset,CONTAINS_SV_CLASS,variant_callset,biolink:has_part
